id,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre
170,2005,The Constant Princess,Philippa Gregory,en-US,Intermediate,3.88,124786,genre fiction
171,1925,Mrs Dalloway,"Virginia Woolf, Maureen Howard",en-US,Intermediate,3.78,136327,genre fiction
172,2009,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",en-GB,Intermediate,3.81,92275,genre fiction
173,1998,Bag of Bones,Stephen King,en-US,Intermediate,3.87,131004,genre fiction
174,1985,The Cider House Rules,John Irving,eng,Intermediate,4.1,124876,genre fiction
175,1984,Thinner,"Richard Bachman, Stephen King",en-GB,Intermediate,3.66,130219,genre fiction
176,1872,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",eng,Intermediate,3.9,117108,genre fiction
177,1994,Walk Two Moons,Sharon Creech,eng,Intermediate,3.95,129350,nonfiction
178,2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,102206,genre fiction
179,1953,Nine Stories,J.D. Salinger,eng,Intermediate,4.19,105138,genre fiction
180,2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,eng,Intermediate,3.67,121373,nonfiction
181,2007,Unwind,Neal Shusterman,eng,Intermediate,4.18,143892,genre fiction
182,1996,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,eng,Intermediate,4.34,123736,nonfiction
183,2013,Prodigy,Marie Lu,eng,Intermediate,4.29,149702,genre fiction
184,1603,The Tragedie of King Lear,William Shakespeare,eng,Intermediate,3.89,135448,genre fiction
185,1949,Death of a Salesman,Arthur Miller,eng,Novice,3.49,132061,genre fiction
186,2007,The Choice,Nicholas Sparks,en-US,Intermediate,3.99,93479,genre fiction
187,2012,,Kate Egan,en-US,Famous,4.51,119915,genre fiction
188,1929,The Sound and the Fury,William Faulkner,eng,Intermediate,3.86,124665,genre fiction
189,2005,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,eng,Intermediate,4.02,106211,genre fiction
190,2002,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,eng,Intermediate,4.21,120004,fiction
191,2013,,Allie Brosh,eng,Intermediate,4.17,118910,genre fiction
192,1992,The Shadow Rising ,Robert Jordan,en-US,Intermediate,4.21,122524,nonfiction
193,2003,Shantaram,Gregory David Roberts,eng,Intermediate,4.26,95213,genre fiction
194,2008,From Dead to Worse,Charlaine Harris,eng,Intermediate,4.01,151095,genre fiction
195,1991,The Waste Lands,"Stephen King, Ned Dameron",eng,Intermediate,4.24,117483,genre fiction
196,1997,The Bone Collector,Jeffery Deaver,en-US,Intermediate,4.18,120541,genre fiction
197,1995,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",eng,Intermediate,3.73,119911,genre fiction
198,1967,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",eng,Intermediate,4.19,125668,genre fiction
199,1989,Hyperion,Dan Simmons,eng,Intermediate,4.21,122225,genre fiction
200,1947,The Pearl of the World,John Steinbeck,eng,Novice,3.41,133264,genre fiction
201,1971,The Exorcist,William Peter Blatty,en-US,Intermediate,4.14,124467,genre fiction
202,2009,The Short Second Life of Bree Tanner,Stephenie Meyer,eng,Intermediate,3.51,145874,genre fiction
203,1994,Snow Falling on Cedars,David Guterson,eng,Intermediate,3.8,131945,genre fiction
204,1976,Roots,Alex Haley,en-US,Famous,4.42,118951,genre fiction
205,1988,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",eng,Intermediate,4.36,113855,genre fiction
206,1952,Invisible Man,Ralph Ellison,eng,Intermediate,3.84,123073,genre fiction
207,2007,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,en-US,Intermediate,4.14,116260,genre fiction
208,1971,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,,Intermediate,4.13,135978,genre fiction
209,1982,Different Seasons,Stephen King,eng,Intermediate,4.34,105961,genre fiction
210,1953,The Little House Collection,"Laura Ingalls Wilder, Garth Williams",,Intermediate,4.33,124320,genre fiction
211,1998,The Girls' Guide to Hunting and Fishing,Melissa Bank,,Novice,3.29,113977,nonfiction
212,2012,Wool Omnibus,Hugh Howey,eng,Intermediate,4.24,81982,genre fiction
213,2002,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,en-US,Intermediate,4.26,118576,genre fiction
214,1997,The Power of Now,Eckhart Tolle,eng,Intermediate,4.1,104549,genre fiction
215,2012,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,eng,Intermediate,3.9,118475,genre fiction
216,2006,The Lies of Locke Lamora,Scott Lynch,eng,Intermediate,4.3,118751,genre fiction
217,1995,Sabriel,Garth Nix,en-US,Intermediate,4.17,137047,genre fiction
218,2009,Dead and Gone,Charlaine Harris,eng,Intermediate,4.01,145157,genre fiction
219,2013,The Storyteller,Jodi Picoult,eng,Intermediate,4.26,109313,genre fiction
220,2011,Obsidian,Jennifer L. Armentrout,eng,Intermediate,4.23,164832,genre fiction
221,1982,"Life, the Universe and Everything",Douglas Adams,eng,Intermediate,4.19,131562,genre fiction
222,2013,Crown of Midnight,Sarah J. Maas,en-CA,Famous,4.49,160485,genre fiction
223,2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,eng,Intermediate,4.18,126864,genre fiction
224,2008,Half Broke Horses: A True Life Novel,Jeannette Walls,eng,Intermediate,4.05,110597,genre fiction
225,1987,Mort,Terry Pratchett,eng,Intermediate,4.22,128450,genre fiction
226,2010,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,eng,Intermediate,3.92,158063,genre fiction
227,1985,Lonesome Dove,Larry McMurtry,en-US,Famous,4.47,111498,genre fiction
228,2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,eng,Intermediate,4.05,122502,nonfiction
