id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
359,2460.15,1476.09,10.65,387,Random House LLC,6237
360,690.69,414.414,2.99,388,HarperCollins Publishers,6237
361,687.7,412.62,2.99,389,Macmillan,6210
362,2509.3,1505.58,10.91,389,Random House LLC,6210
363,226.71,0,0.99,391,"Amazon Digital Services,  Inc.",6183
364,1142.71,0,4.99,392,"Amazon Digital Services,  Inc.",6183
365,909.72,0,3.99,393,"Amazon Digital Services,  Inc.",6156
366,5902.92,3541.752,25.89,393,HarperCollins Publishers,6156
367,1468.69,881.214,6.47,395,"Amazon Digital Services,  Inc.",6129
368,223.74,134.244,0.99,397,"Amazon Digital Services,  Inc.",6102
369,1188.76,713.256,5.26,398,"Amazon Digital Services,  Inc.",6102
370,897.75,538.65,3.99,400,"Amazon Digital Services,  Inc.",6075
371,221.76,0,0.99,401,"Amazon Digital Services,  Inc.",6048
372,1274.56,764.736,5.69,401,"Amazon Digital Services,  Inc.",6048
373,1112.77,0,4.99,403,"Amazon Digital Services,  Inc.",6021
374,1781.77,1069.062,7.99,404,Penguin Group (USA) LLC,6021
375,1662.78,997.668,7.49,406,Penguin Group (USA) LLC,5994
376,660.79,396.474,2.99,408,Simon and Schuster Digital Sales Inc,5967
377,437.8,262.68,1.99,409,Random House LLC,5940
378,3955.6,2373.36,17.98,409,"Amazon Digital Services,  Inc.",5940
379,2067.36,1240.416,9.44,411,"Amazon Digital Services,  Inc.",5913
380,1311.81,787.086,5.99,412,Macmillan,5913
381,433.82,260.292,1.99,413,"Amazon Digital Services,  Inc.",5886
382,2177.82,1306.692,9.99,414,"Amazon Digital Services,  Inc.",5886
383,1864.03,1118.418,8.59,415,Hachette Book Group,5859
384,214.83,128.898,0.99,416,"Amazon Digital Services,  Inc.",5859
385,2311.05,1386.63,10.65,416,Random House LLC,5859
386,1072.85,0,4.99,419,"Amazon Digital Services,  Inc.",5805
387,1717.85,1030.71,7.99,419,Random House LLC,5805
388,642.85,385.71,2.99,420,"Amazon Digital Services,  Inc.",5805
389,1281.86,0,5.99,421,"Amazon Digital Services,  Inc.",5778
390,849.87,509.922,3.99,423,"Amazon Digital Services,  Inc.",5751
391,423.87,254.322,1.99,423,HarperCollins Publishers,5751
392,1062.87,637.722,4.99,424,Hachette Book Group,5751
393,1693.88,1016.328,7.99,425,Penguin Group (USA) LLC,5724
394,1080.32,648.192,5.12,427,Random House LLC,5697
395,630.89,0,2.99,428,"Amazon Digital Services,  Inc.",5697
396,2007.6,1204.56,9.56,430,Simon and Schuster Digital Sales Inc,5670
397,833.91,0,3.99,431,"Amazon Digital Services,  Inc.",5643
398,206.91,124.146,0.99,432,"Amazon Digital Services,  Inc.",5643
399,621.92,0,2.99,433,"Amazon Digital Services,  Inc.",5616
400,205.92,0,0.99,433,"Amazon Digital Services,  Inc.",5616
401,1245.92,747.552,5.99,434,Random House LLC,5616
402,1032.93,0,4.99,436,"Amazon Digital Services,  Inc.",5589
403,2457.95,1474.77,11.99,439,Penguin Group (USA) LLC,5535
404,1621.97,973.182,7.99,444,Penguin Group (USA) LLC,5481
405,1703.17,1021.902,8.39,444,Random House LLC,5481
406,603.98,0,2.99,445,"Amazon Digital Services,  Inc.",5454
407,603.98,0,2.99,445,"Amazon Digital Services,  Inc.",5454
408,600.99,360.594,2.99,447,Simon and Schuster Digital Sales Inc,5427
409,198.99,119.394,0.99,447,"Amazon Digital Services,  Inc.",5427
410,399.99,239.994,1.99,448,Hachette Book Group,5427
411,500,300,2.5,449,HarperCollins Publishers,5400
412,1898,0,9.49,450,"Amazon Digital Services,  Inc.",5400
413,595.01,0,2.99,452,"Amazon Digital Services,  Inc.",5373
414,196.02,117.612,0.99,453,"Amazon Digital Services,  Inc.",5346
415,790.02,0,3.99,454,"Amazon Digital Services,  Inc.",5346
416,1059.86,635.916,5.38,455,Random House LLC,5319
417,194.04,0,0.99,457,"Amazon Digital Services,  Inc.",5292
418,586.04,0,2.99,458,"Amazon Digital Services,  Inc.",5292
419,1480.05,888.03,7.59,459,Random House LLC,5265
420,583.05,349.83,2.99,460,Simon and Schuster Digital Sales Inc,5265
421,192.06,115.236,0.99,462,HarperCollins Publishers,5238
422,191.07,0,0.99,463,"Amazon Digital Services,  Inc.",5211
423,770.07,0,3.99,463,"Amazon Digital Services,  Inc.",5211
